Model,Year of Production,Number of Engines,Engine Type,Capacity,Range in km,Fuel consumption in (L/hour),Maintenance cost per hour,Age,Sales Region,Price in USD
Bombardier CRJ200,1997,2,Turbofan,50,3000,4.03,1202.08,28,Europe,13914058.55
Boeing 737,2023,2,Turbofan,162,5700,14.61,592.63,2,Australia,136659689.37
Cessna 172,2018,1,Piston,4,1285,24.65,1814.65,7,Asia,396750.44
Bombardier CRJ200,2014,2,Turbofan,50,3000,2.6,3165.87,11,Africa,16981571.17
Airbus A320,2008,2,Turbofan,180,6300,4.22,3233.95,17,South America,103115871.84
Bombardier CRJ200,2007,2,Turbofan,50,3000,8.44,1049.17,18,North America,17772783.25
Boeing 777,2018,2,Turbofan,396,15600,6.23,703.52,7,North America,609835687.97
Boeing 737,2009,2,Turbofan,162,5700,6.64,4229.32,16,South America,84803923.37
Boeing 737,2004,2,Turbofan,162,5700,9.06,1764.21,21,Asia,81240277.67
Cessna 172,1998,1,Piston,4,1285,49.48,835.48,27,Australia,205472.14
Cessna 172,2003,1,Piston,4,1285,17.95,3975.1,22,South America,282880.8
Airbus A350,1997,2,Turbofan,350,14800,6.23,1899.42,28,Africa,402568177.04
Bombardier CRJ200,2003,2,Turbofan,50,3000,8.14,4492.46,22,Europe,16455191.8
Boeing 777,2002,2,Turbofan,396,15600,11.27,1038.17,23,Europe,477861066.66
Bombardier CRJ200,1997,2,Turbofan,50,3000,8.42,3969.35,28,Australia,13932179.15
Bombardier CRJ200,2021,2,Turbofan,50,3000,7.56,2852.3,4,Asia,23385809.92
Cessna 172,2020,1,Piston,4,1285,30.34,1914.6,5,Europe,389745.75
Cessna 172,1995,1,Piston,4,1285,19.97,4584.05,30,Europe,245284.2
Airbus A350,2004,2,Turbofan,350,14800,3.0,1529.59,21,North America,437745351.34
Bombardier CRJ200,2015,2,Turbofan,50,3000,4.1,1803.88,10,Europe,22142984.74
Bombardier CRJ200,2000,2,Turbofan,50,3000,4.43,4116.52,25,Asia,13469724.32
Airbus A350,1997,2,Turbofan,350,14800,7.55,1525.71,28,Asia,360117097.64
Airbus A320,2016,2,Turbofan,180,6300,13.19,4181.07,9,Australia,134849581.51
Airbus A350,2005,2,Turbofan,350,14800,6.39,1039.39,20,Australia,468878805.55
Airbus A320,1995,2,Turbofan,180,6300,14.63,2136.33,30,Australia,63325195.66
Cessna 172,2014,1,Piston,4,1285,11.48,1781.78,11,North America,349541.06
Bombardier CRJ200,2017,2,Turbofan,50,3000,8.53,3243.04,8,Africa,20843194.48
Cessna 172,2005,1,Piston,4,1285,29.58,1152.03,20,North America,281786.25
Airbus A320,2023,2,Turbofan,180,6300,12.86,906.3,2,Africa,191050892.95
Airbus A350,2018,2,Turbofan,350,14800,2.22,3549.04,7,Africa,636428287.19
Cessna 172,1996,1,Piston,4,1285,19.06,2804.42,29,South America,190999.82
Boeing 737,2023,2,Turbofan,162,5700,7.03,3609.22,2,Australia,132930259.08
Boeing 737,2023,2,Turbofan,162,5700,3.79,4715.28,2,South America,116978442.29
Boeing 777,2021,2,Turbofan,396,15600,13.41,4661.12,4,North America,738770404.75
Boeing 737,1998,2,Turbofan,162,5700,10.58,1660.74,27,Africa,64903179.49
Airbus A320,2009,2,Turbofan,180,6300,5.14,2883.43,16,Asia,127589373.69
Bombardier CRJ200,1996,2,Turbofan,50,3000,13.66,918.96,29,South America,12388808.47
Airbus A320,2012,2,Turbofan,180,6300,6.54,2025.63,13,Asia,131800157.55
Bombardier CRJ200,1999,2,Turbofan,50,3000,13.66,3766.8,26,Australia,12872568.92
Cessna 172,2018,1,Piston,4,1285,13.37,3389.14,7,Europe,397989.08
Airbus A320,2003,2,Turbofan,180,6300,13.68,1227.33,22,Europe,96788868.97
Cessna 172,2013,1,Piston,4,1285,16.43,522.78,12,Asia,317496.98
Cessna 172,2000,1,Piston,4,1285,37.68,2969.3,25,Africa,203302.52
Boeing 777,1995,2,Turbofan,396,15600,11.7,1964.3,30,Asia,435882785.22
Airbus A320,2016,2,Turbofan,180,6300,9.39,3459.26,9,Asia,140344150.66
Boeing 737,2011,2,Turbofan,162,5700,6.78,921.54,14,Asia,87878634.15
Bombardier CRJ200,2010,2,Turbofan,50,3000,10.2,4514.21,15,South America,17894235.68
Airbus A320,1996,2,Turbofan,180,6300,8.4,3096.07,29,South America,89750866.58
Cessna 172,2007,1,Piston,4,1285,38.9,1378.59,18,Europe,259510.14
Boeing 777,2005,2,Turbofan,396,15600,6.81,4616.89,20,Australia,532986648.75
Bombardier CRJ200,2003,2,Turbofan,50,3000,13.09,4836.29,22,Africa,14384470.91
Cessna 172,2008,1,Piston,4,1285,25.4,1825.02,17,Asia,285823.04
Bombardier CRJ200,2020,2,Turbofan,50,3000,11.13,3636.57,5,Asia,23974036.95
Airbus A320,1997,2,Turbofan,180,6300,8.52,2801.04,28,Australia,82834396.57
Airbus A320,2016,2,Turbofan,180,6300,6.39,4505.02,9,South America,124364472.6
Airbus A350,1995,2,Turbofan,350,14800,2.47,3102.26,30,Africa,363499352.52
Boeing 737,2022,2,Turbofan,162,5700,2.49,637.25,3,Africa,104321929.88
Boeing 777,2007,2,Turbofan,396,15600,6.68,4201.7,18,Africa,544185572.19
Bombardier CRJ200,2021,2,Turbofan,50,3000,3.11,3303.01,4,Asia,23289653.75
Boeing 737,2005,2,Turbofan,162,5700,10.29,2932.86,20,Australia,75935599.5
Airbus A320,1997,2,Turbofan,180,6300,4.25,2340.29,28,Africa,85144981.29
Bombardier CRJ200,2014,2,Turbofan,50,3000,11.59,4796.89,11,Asia,24005505.92
Boeing 737,1995,2,Turbofan,162,5700,5.22,2388.2,30,Europe,70011721.15
Airbus A350,2011,2,Turbofan,350,14800,11.85,2101.88,14,Africa,591037757.01
Airbus A320,2005,2,Turbofan,180,6300,3.27,2633.78,20,Asia,108071613.81
Airbus A320,2004,2,Turbofan,180,6300,8.16,2712.27,21,Asia,94713313.58
Airbus A350,1996,2,Turbofan,350,14800,10.01,2293.27,29,Africa,325859473.29
Boeing 777,2007,2,Turbofan,396,15600,2.59,3357.92,18,Australia,618640959.87
Bombardier CRJ200,2015,2,Turbofan,50,3000,13.13,2764.11,10,Australia,17373210.04
Bombardier CRJ200,2011,2,Turbofan,50,3000,4.12,3464.12,14,Europe,18719354.17
Airbus A320,1998,2,Turbofan,180,6300,9.62,619.3,27,Europe,73657499.53
Boeing 737,2017,2,Turbofan,162,5700,9.48,4731.04,8,Australia,129403197.62
Cessna 172,2010,1,Piston,4,1285,22.76,820.35,15,South America,296583.45
Boeing 737,2018,2,Turbofan,162,5700,13.41,3330.24,7,Asia,123512626.17
Bombardier CRJ200,1995,2,Turbofan,50,3000,4.31,1769.16,30,Africa,12835276.83
Boeing 737,2016,2,Turbofan,162,5700,12.49,3877.77,9,Europe,108922584.58
Cessna 172,2018,1,Piston,4,1285,41.06,2174.08,7,Asia,389175.66
Bombardier CRJ200,2017,2,Turbofan,50,3000,11.81,3878.92,8,South America,23587120.57
Cessna 172,2000,1,Piston,4,1285,46.1,964.06,25,North America,260927.64
Airbus A320,2022,2,Turbofan,180,6300,13.64,1940.22,3,Australia,153909858.26
Boeing 777,1995,2,Turbofan,396,15600,2.14,2251.41,30,North America,410469031.78
Bombardier CRJ200,1999,2,Turbofan,50,3000,7.83,3343.27,26,Africa,11294643.37
Airbus A350,2019,2,Turbofan,350,14800,12.27,4062.11,6,South America,684223379.69
Airbus A320,2012,2,Turbofan,180,6300,13.54,2486.89,13,North America,112151806.73
Airbus A320,2002,2,Turbofan,180,6300,11.9,1143.46,23,Asia,87977234.14
Airbus A320,2003,2,Turbofan,180,6300,3.31,3281.98,22,North America,96336514.65
Airbus A320,2008,2,Turbofan,180,6300,12.68,827.43,17,South America,104143760.26
Bombardier CRJ200,1999,2,Turbofan,50,3000,3.06,3678.09,26,South America,10739495.68
Bombardier CRJ200,2013,2,Turbofan,50,3000,14.31,4157.6,12,Asia,16600779.99
Bombardier CRJ200,2015,2,Turbofan,50,3000,11.79,4937.0,10,North America,18828564.05
Bombardier CRJ200,2015,2,Turbofan,50,3000,8.09,551.09,10,Europe,18252268.93
Boeing 777,1998,2,Turbofan,396,15600,3.54,753.36,27,South America,410411470.34
Airbus A320,2001,2,Turbofan,180,6300,9.58,3857.2,24,Europe,80504029.77
Bombardier CRJ200,2020,2,Turbofan,50,3000,6.87,4829.78,5,North America,24267695.88
Cessna 172,2011,1,Piston,4,1285,48.53,1506.18,14,North America,311793.44
Airbus A350,1997,2,Turbofan,350,14800,9.2,832.08,28,Asia,372785335.86
Boeing 737,2001,2,Turbofan,162,5700,8.8,4861.86,24,Europe,81388879.52
Bombardier CRJ200,1996,2,Turbofan,50,3000,10.16,2545.43,29,Europe,13233319.52
Bombardier CRJ200,2008,2,Turbofan,50,3000,13.72,3129.41,17,South America,20606861.86
Bombardier CRJ200,2007,2,Turbofan,50,3000,4.45,1748.22,18,South America,15094612.56
Boeing 737,2003,2,Turbofan,162,5700,8.97,3641.73,22,South America,83389306.25
Airbus A320,2023,2,Turbofan,180,6300,2.34,703.48,2,Europe,175206086.08
Cessna 172,2006,1,Piston,4,1285,25.24,3173.59,19,South America,278854.84
Boeing 777,2006,2,Turbofan,396,15600,5.22,4323.41,19,Australia,468777225.26
Bombardier CRJ200,1995,2,Turbofan,50,3000,9.88,4793.23,30,North America,11903076.77
Boeing 737,2010,2,Turbofan,162,5700,10.73,1011.01,15,Europe,105920383.92
Airbus A320,2009,2,Turbofan,180,6300,12.04,2841.38,16,North America,126146769.08
Boeing 737,2022,2,Turbofan,162,5700,7.25,4444.94,3,Europe,132408315.54
Airbus A350,2001,2,Turbofan,350,14800,4.77,3668.36,24,North America,474065660.46
Boeing 737,1997,2,Turbofan,162,5700,2.19,1113.67,28,North America,70176457.69
Bombardier CRJ200,2012,2,Turbofan,50,3000,7.69,2265.1,13,Africa,15524062.43
Bombardier CRJ200,2014,2,Turbofan,50,3000,6.53,4568.71,11,North America,22778117.67
Airbus A320,2017,2,Turbofan,180,6300,14.34,4380.64,8,North America,114422880.74
Airbus A350,2002,2,Turbofan,350,14800,6.27,2716.78,23,Australia,375548779.82
Boeing 777,2007,2,Turbofan,396,15600,3.68,841.38,18,South America,576919744.89
Boeing 737,2007,2,Turbofan,162,5700,8.16,4535.55,18,Asia,77797895.08
Cessna 172,2014,1,Piston,4,1285,11.63,1365.3,11,Australia,368135.63
Bombardier CRJ200,2022,2,Turbofan,50,3000,5.62,1260.21,3,Europe,23413691.25
Boeing 777,2007,2,Turbofan,396,15600,6.74,1428.5,18,Asia,484733311.98
Bombardier CRJ200,2001,2,Turbofan,50,3000,10.98,2765.38,24,South America,12577691.22
Boeing 777,2022,2,Turbofan,396,15600,13.97,4431.1,3,Asia,795932931.6
Bombardier CRJ200,1999,2,Turbofan,50,3000,5.6,774.85,26,South America,13329270.54
Boeing 777,2022,2,Turbofan,396,15600,4.72,1330.34,3,Africa,838287790.19
Boeing 777,2005,2,Turbofan,396,15600,8.3,2167.12,20,Australia,431794832.04
